nom_ligne,avg_retard
M27,6.831325301204819
B22,6.408536585365853
B4,6.698924731182796
M16,6.294589178356714
T5,6.922606924643585
T3,6.6819126819126815
T19,6.990215264187867
M25,6.570564516129032
M21,6.562118126272912
M38,6.936781609195402
M7,6.807302231237323
T31,6.975806451612903
M32,7.007905138339921
M11,7.004098360655738
T10,6.726114649681529
B27,6.1689059500959695
T6,6.20985401459854
B14,6.957528957528957
M22,6.470370370370371
T24,6.9958932238193015
M30,7.036734693877551
B16,6.367469879518072
T12,6.868534482758621
M35,6.130612244897959
B28,6.245579567779961
M24,7.008602150537635
T1,6.444664031620554
B25,7.002036659877801
M14,6.27348643006263
B11,6.980119284294235
B17,6.450757575757576
T21,7.214437367303609
B5,6.541338582677166
T4,6.965587044534413
M18,6.590361445783133
B26,6.967010309278351
B19,5.98828125
M26,6.488888888888889
T14,6.748414376321353
T30,6.450292397660819
M4,6.59765625
M17,6.529531568228106
T2,6.947261663286004
B8,6.223360655737705
M8,6.783673469387755
B23,6.717267552182163
T27,6.4070247933884295
B1,6.978813559322034
B20,6.2437137330754355
B6,6.862068965517241
M23,6.311890838206628
T16,7.3037475345167655
M37,6.257692307692308
M39,6.735632183908046
M19,6.993548387096774
T26,6.693251533742331
B13,6.872469635627531
M34,7.017857142857143
M9,6.656015037593985
M6,6.5181644359464626
T20,6.7008032128514055
M33,6.679462571976967
M2,7.252049180327869
M15,6.307992202729045
T8,6.595978062157221
M12,6.862003780718337
B21,6.6605691056910565
T15,6.576470588235294
T13,7.05511811023622
T29,6.640081799591002
M13,6.922290388548057
T17,6.518304431599229
M5,6.534798534798535
B9,6.594142259414226
M1,6.123015873015873
M28,7.133333333333334
B24,6.2824267782426775
T18,6.711538461538462
T11,6.462301587301587
T22,7.0772357723577235
B12,7.16247582205029
B7,6.859213250517598
T28,7.01875
M36,6.448897795591182
M20,7.118681318681318
B15,6.736434108527132
T7,6.60233918128655
B3,7.47119341563786
M29,6.348884381338743
B18,6.687374749498998
T32,6.429435483870968
M10,6.414529914529915
M3,6.787593984962406
T23,6.771058315334773
T9,6.92578125
T33,6.44466800804829
M31,7.163672654690619
T25,6.4760994263862335
B10,7.557312252964427
B2,6.492509363295881
